entry_time,exit_time,entry_price,exit_price,size,direction,pnl
2024-10-15 11:00:00+00:00,2024-10-15 13:00:00+00:00,65355.965,67733.4455,0.03060164439466237,-1,-72.75481281624424
2024-10-15 13:00:00+00:00,2024-10-16 04:00:00+00:00,67733.4455,66992.044,0.02952751015744504,1,-21.8917403219952
2024-10-17 04:00:00+00:00,2024-10-18 01:00:00+00:00,67233.415,68049.7,0.02971895848124382,-1,-24.259140023862216
2024-10-19 11:00:00+00:00,2024-10-20 06:00:00+00:00,68084.235,68398.45,0.029340446964510332,-1,-9.219208542953512
2024-10-21 07:00:00+00:00,2024-10-24 00:00:00+00:00,68502.245,67298.0915,0.029158715921878166,-1,35.11156983283533
2024-10-25 07:00:00+00:00,2024-10-25 13:00:00+00:00,67498.3505,68321.795,0.02960279352845157,-1,-24.376257515638972
2024-10-25 15:00:00+00:00,2024-10-27 12:00:00+00:00,67662.8695,67313.745,0.029523610555893476,-1,10.307415773521189
2024-10-28 12:00:00+00:00,2024-10-30 01:00:00+00:00,68949.372,72391.0665,0.028975729561796636,1,99.72560906632283
2024-10-30 11:00:00+00:00,2024-11-01 13:00:00+00:00,71946.25,71159.6,0.027796485135904093,-1,21.866105032158792
2024-11-01 20:00:00+00:00,2024-11-03 21:00:00+00:00,69185.205,69110.165,0.028912109038481317,-1,2.1695646622478737
2024-11-04 14:00:00+00:00,2024-11-05 14:00:00+00:00,68345.2415,69969.4025,0.029268073946346767,-1,-47.5360642487723
2024-11-06 00:00:00+00:00,2024-11-07 01:00:00+00:00,71164.222,75471.673,0.028095337862584273,1,121.01929117152652
2024-11-07 13:00:00+00:00,2024-11-07 17:00:00+00:00,74703.483,76348.905,0.026796652127202465,-1,-44.09180093644589
2024-11-07 17:00:00+00:00,2024-11-07 22:00:00+00:00,76348.905,75910.6845,0.026219148089175384,1,-11.489768185212371
2024-11-09 12:00:00+00:00,2024-11-09 23:00:00+00:00,76326.0745,76723.2905,0.026212426465859313,-1,-10.411995191062783
2024-11-10 04:00:00+00:00,2024-11-12 10:00:00+00:00,79067.683,86886.0495,0.0253008979073679,1,197.81169261888502
2024-11-13 14:00:00+00:00,2024-11-13 21:00:00+00:00,91677.891,88588.773,0.02186393673920254,1,-67.54028053193193
2024-11-15 00:00:00+00:00,2024-11-15 11:00:00+00:00,87919.9325,89686.716,0.022783102154871053,-1,-40.25280896604073
2024-11-15 20:00:00+00:00,2024-11-16 09:00:00+00:00,91456.5,91278.4925,0.021893290771214147,1,-3.8971699569570553
2024-11-16 15:00:00+00:00,2024-11-16 21:00:00+00:00,90545.2805,90902.856,0.022112757207907792,-1,-7.906980214996372
